Date,Station,Code,Max_Temp_C,Max_Depart,Min_Temp_C,Min_Depart,Humidity_%,Lat,Lon
2024-01-05,Ambala,42103.0,10.8,-7.0,6.6,0.0,95.0,30.3833,76.7667
2024-01-05,Nahan,42104.0,18.3,2.0,6.6,1.0,56.0,30.5667,77.2833
2024-01-05,Chandigarh-City,42105.0,16.4,-5.0,6.7,-1.0,88.0,30.7333,76.7667
2024-01-05,Chandigarh,42105.0,16.4,-5.0,6.7,-1.0,88.0,30.7333,76.7667
2024-01-05,Solan,42106.0,,,1.0,-1.0,,30.8333,77.1333
2024-01-05,Uttarkashi,42108.0,,,3.3,,,30.7333,78.45
2024-01-05,Dehradun-Mokhampur,42111.0,23.3,4.0,5.9,0.0,68.0,30.2667,78.0667
2024-01-05,Mussorie,42112.0,14.0,,4.9,,,30.45,78.0833
2024-01-05,Tehri,42114.0,15.5,0.0,3.0,,51.0,30.4,78.4833
2024-01-05,Joshimath,42116.0,,,5.4,,,30.55,79.5667
2024-01-05,Chamoli,42117.0,,,2.9,,,30.4,79.3333
2024-01-05,Sriganganagar,42123.0,12.5,-7.0,6.8,1.0,77.0,29.9167,73.8833
2024-01-05,Hisar,42131.0,12.0,-7.0,7.5,1.0,87.0,29.1667,75.7333
2024-01-05,Karnal,42137.0,10.2,,6.3,0.0,,29.7,77.0333
2024-01-05,Muzaffarnagar,42138.0,14.0,-4.0,4.7,-1.0,88.0,29.4667,77.7
2024-01-05,Meerut,42139.0,14.6,-7.0,8.2,1.0,88.0,29.0167,77.6333
2024-01-05,Bijnor,42143.0,19.4,1.0,6.5,-1.0,77.0,29.6167,78.3833
2024-01-05,Nainital,42146.0,,,,,,29.4,79.4667
2024-01-05,Mukteshwar,42147.0,11.6,-1.0,4.7,3.0,77.0,29.4667,79.65
2024-01-05,Pantnagar,42148.0,19.6,0.0,7.8,2.0,79.0,29.0333,79.4667
2024-01-05,Bikaner,42165.0,16.3,-7.0,2.8,-4.0,60.0,28.0,73.3
2024-01-05,Churu,42170.0,15.2,-7.0,5.4,0.0,71.0,28.25,74.9167
2024-01-05,Pilani,42174.0,,,6.2,1.0,,28.3333,75.5833
2024-01-05,Rohtak,42176.0,11.2,-8.0,10.0,4.0,87.0,28.8333,76.5833
2024-01-05,Narnaul,42177.0,11.0,-9.0,7.2,2.0,75.0,28.0,76.0833
2024-01-05,Gurgaon,42178.0,,,,,,28.4667,77.0333
2024-01-05,New Delhi-Ayanagar,42180.0,11.6,-5.0,9.8,3.0,88.0,28.4667,77.1333
2024-01-05,New Delhi-Palam,42181.0,11.4,-7.0,10.0,3.0,87.0,28.5667,77.1167
2024-01-05,New Delhi-Safdarjung,42182.0,12.5,-7.0,9.4,3.0,88.0,28.5833,77.2
2024-01-05,New Delhi-Ridge,42184.0,12.0,-5.0,9.1,1.0,85.0,28.6333,77.2833
2024-01-05,Moradabad,42187.0,15.4,-3.0,,,91.0,28.8333,78.75
2024-01-05,Bareilly,42189.0,15.1,-4.0,10.5,3.0,89.0,28.3667,79.4
2024-01-05,Gangtok-Tadong,42217.0,16.8,0.0,6.7,1.0,73.0,27.3333,88.6333
2024-01-05,Pasighat,42220.0,27.2,5.0,14.6,2.0,72.0,28.1,95.3833
2024-01-05,Nagaur,42242.0,,,,,,27.1667,73.6667
2024-01-05,Siker,42249.0,,,3.5,-1.0,,27.6167,75.1333
2024-01-05,Alwar,42255.0,,,7.5,0.0,,27.5,76.5833
2024-01-05,Bharatpur,42258.0,,,,,,27.2167,77.5
2024-01-05,Agra,42260.0,16.2,-7.0,11.5,,81.0,27.2,77.9833
2024-01-05,Aligarh,42262.0,15.4,-3.0,11.6,5.0,86.0,27.8833,78.0667
2024-01-05,Mainpuri,42265.0,,,,,,27.2333,79.05
2024-01-05,Shahjahanpur,42266.0,15.0,-4.0,10.8,4.0,83.0,27.8833,79.9
2024-01-05,Lakhimpur Kheri,42270.0,16.2,-3.0,10.0,1.0,79.0,27.9,80.8
2024-01-05,Hardoi,42271.0,16.0,-3.0,11.5,3.0,89.0,27.3833,80.1667
2024-01-05,Bahraich,42273.0,19.6,0.0,11.4,2.0,84.0,27.5667,81.6
2024-01-05,Darjeeling,42293.0,12.8,1.0,4.0,2.0,74.0,27.05,88.2667
2024-01-05,Kalimpong,42296.0,14.5,-2.0,8.5,1.0,63.0,27.0667,88.4667
2024-01-05,Gangtok,42299.0,12.6,0.0,5.7,1.0,73.0,27.3333,88.6167
2024-01-05,Itanagar,42308.0,21.8,,12.2,,75.0,27.1,93.6167
2024-01-05,North Lakhimpur,42309.0,26.5,3.0,8.4,0.0,79.0,27.2333,94.1167
2024-01-05,Sibsagar,42311.0,,,,,,26.9833,94.6333
2024-01-05,Dibrugarh,42314.0,26.2,3.0,8.9,0.0,68.0,27.4833,95.0167
2024-01-05,Tinsukia,42317.0,25.5,,6.0,,73.0,27.5,95.3667
2024-01-05,Jaisalmer,42328.0,16.4,-6.0,5.5,-3.0,59.0,26.9,70.9167
2024-01-05,Jodhpur,42339.0,22.0,-3.0,7.6,-2.0,37.0,26.3,73.0167
2024-01-05,Ajmer,42343.0,18.7,-5.0,4.8,-4.0,39.0,26.45,74.6167
2024-01-05,Jaipur-AMO Jaipur,42348.0,16.1,-6.0,7.4,-1.0,80.0,26.8167,75.8
2024-01-05,Tonk,42349.0,,,7.7,0.0,,26.1667,75.75
2024-01-05,Bhiwani,42350.0,8.9,,6.8,,,28.8333,76.1667
